sample	Precision_TRUST4_BAM	Recall_TRUST4_BAM	F1_TRUST4_BAM	Specificity_TRUST4_BAM	Accuracy_TRUST4_BAM	Precision_MiXCR	Recall_MiXCR	F1_MiXCR	Specificity_MiXCR	Accuracy_MiXCR	Precision_Vidjil	Recall_Vidjil	F1_Vidjil	Specificity_Vidjil	Accuracy_Vidjil	Precision_Conjunction	Recall_Conjunction	F1_Conjunction	Specificity_Conjunction	Accuracy_Conjunction	Precision_Disjunction	Recall_Disjunction	F1_Disjunction	Specificity_Disjunction	Accuracy_Disjunction
sample1	1.0	0.4	0.5714285714285715	0.0	0.4	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	0.6	0.7499999999999999	0.0	0.6	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0
sample2	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	0.8	0.888888888888889	0.0	0.8	1.0	0.8	0.888888888888889	0.0	0.8	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	1.0	1.0	0.0	1.0
sample3	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	0.8	0.888888888888889	0.0	0.8	1.0	0.8	0.888888888888889	0.0	0.8	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	1.0	1.0	0.0	1.0
sample4	0.0	0.0	0.0	1.0	0.4	0.5	0.6666666666666666	0.5714285714285715	0.0	0.4	1.0	0.6666666666666666	0.8	1.0	0.8	0.0	0.0	0.0	1.0	0.4	0.5	0.6666666666666666	0.5714285714285715	0.0	0.4
sample5	1.0	0.6	0.7499999999999999	0.0	0.6	1.0	0.4	0.5714285714285715	0.0	0.4	1.0	0.4	0.5714285714285715	0.0	0.4	1.0	0.2	0.3333333333333333	0.0	0.2	1.0	0.6	0.7499999999999999	0.0	0.6
sample6	1.0	0.3333333333333333	0.5	1.0	0.6	0.0	0.0	0.0	1.0	0.4	1.0	0.6666666666666666	0.8	1.0	0.8	0.0	0.0	0.0	1.0	0.4	1.0	0.6666666666666666	0.8	1.0	0.8
sample7	0.0	0.0	0.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.6	0.0	0.0	0.0	1.0	0.6	1.0	1.0	1.0	1.0	1.0
sample8	0.5	0.5	0.5	0.6666666666666666	0.6	0.25	0.5	0.3333333333333333	0.0	0.2	0.3333333333333333	0.5	0.4	0.3333333333333333	0.4	0.0	0.0	0.0	1.0	0.6	0.4	1.0	0.5714285714285715	0.0	0.4
sample9	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
sample10	1.0	0.75	0.8571428571428571	1.0	0.8	1.0	0.25	0.4	1.0	0.4	1.0	1.0	1.0	1.0	1.0	1.0	0.25	0.4	1.0	0.4	1.0	1.0	1.0	1.0	1.0
